Date,91 days,182 days,273 days,364 days,Weighted Av.,24 months,3 year,5 year,7 year,10 year,15 year,G-Bonds Rate,
1-Dec-2000,33.8999,36.5002,38.2001,,,46.3562,,,,,,,
8-Dec-2000,33.85,36.5,38.2,,,45.7104,,,,,,,
15-Dec-2000,34.1846,37,38.6999,,,45.7104,,,,,,,
22-Dec-2000,34.1846,37,38.6999,,,45.7104,,,,,,,
29-Dec-2000,34.1846,36.6679,38.9999,,,45.7104,,,,,,,
5-Jan-2001,34.5003,37.099,39.5001,,36.37994682,45.7104,,,,,,,
12-Jan-2001,34.774,37.0999,39.5009,,36.48888128,48.3698,,,,,,,
19-Jan-2001,34.4048,36.7001,39,,36.38196168,49.7365,,,,,,,
26-Jan-2001,37.0211,36.5066,39,,35.9566,49.7365,,,,,,,
2-Feb-2001,40.0084,36.5066,39.0001,,36.27316835,49.7365,,,,,,,
9-Feb-2001,40.9998,37,39.0001,,34.97875333,52.2581,,,,,,,
16-Feb-2001,45.0003,43.8761,39.0001,,35.52332419,52.2581,,,,,,,
23-Feb-2001,45.0003,43.8761,39.0001,,35.28206551,52.2581,,,,,,,
2-Mar-2001,49.9998,43.8761,39.0001,,50.02046607,52.2581,,,,,,,
9-Mar-2001,55.0001,43.8761,39.0001,,48.95369541,52.2581,,,,,,,
16-Mar-2001,54.2028,43.8761,47.4161,,51.39734167,52.2581,,,,,,,
23-Mar-2001,54.2028,46.8833,47.4161,,52.04200626,52.2581,,,,,,,
30-Mar-2001,53.4495,46.8833,47.4161,,52.17749693,56.4106,,,,,,,
6-Apr-2001,45.5266,45.7998,47.4161,,43.90336339,56.4106,,,,,,,
13-Apr-2001,45.3356,45.6566,47.7735,,45.5266,56.4106,,,,,,,
20-Apr-2001,44.2369,42.463,46.65,,45.58648462,56.4106,,,,,,,
27-Apr-2001,44.1482,42.463,46.65,,43.15101336,55.5903,,,,,,,
4-May-2001,42.4219,46.8833,46.65,,42.72911713,55.5903,,,,,,,
11-May-2001,41.6118,46.7499,46.65,,41.99214408,55.5903,,,,,,,
18-May-2001,43.9996,47.1003,48.75,,41.02442663,55.5903,,,,,,,
25-May-2001,42.0957,46.997,48.75,,42.31823407,55.5903,,,,,,,
1-Jun-2001,42.0978,47.6437,48.75,,40.55633253,55.5903,,,,,,,
8-Jun-2001,41.6523,48.0121,48.75,,42.95593193,57.0239,,,,,,,
15-Jun-2001,42.2495,48.3266,49.2714,,41.86228673,57.0239,,,,,,,
22-Jun-2001,42.2767,47.9656,50.0153,,43.45750481,57.0239,,,,,,,
29-Jun-2001,43.1866,46.0075,50.0153,,45.15351026,58.6914,,,,,,,
6-Jul-2001,44.1149,46.6533,51.8807,,43.99276994,58.6914,,,,,,,
13-Jul-2001,45.9296,47.8945,53.0316,,44.98540988,58.6914,,,,,,,
20-Jul-2001,46.6881,48.3024,52.9399,,45.99285118,58.6914,,,,,,,
27-Jul-2001,46.653,49.4832,53.5972,,46.03367099,58.6914,,,,,,,
3-Aug-2001,46.7402,49.1647,54.7739,,47.50170085,59.0265,,,,,,,
10-Aug-2001,47.1836,49.1538,54.0322,,46.84446312,59.0265,,,,,,,
17-Aug-2001,45.4671,47.9629,54.4572,,47.24716816,59.0265,,,,,,,
24-Aug-2001,45.2828,47.2809,53.8919,,46.86609289,59.0265,,,,,,,
31-Aug-2001,45.1776,47.3913,52.1017,,45.47393809,57.7255,,,,,,,
7-Sep-2001,44.2472,46.7736,51.1803,,45.88269789,57.7255,,,,,,,
14-Sep-2001,45.0077,45.8123,50.3454,,45.15878528,57.7255,,,,,,,
21-Sep-2001,45.2985,45.7264,48.9998,,46.71536381,57.7255,,,,,,,
28-Sep-2001,44.1145,45.1831,48.1403,,44.82439443,56.6406,,,,,,,
5-Oct-2001,43.7187,44.7287,48.188,,44.76163793,56.6406,,,,,,,
12-Oct-2001,44.8288,45.0713,46.7935,,49.0189,56.6406,,,,,,,
19-Oct-2001,45.9692,45.7031,47.1133,,43.92971121,56.2906,,,,,,,
26-Oct-2001,46.6096,46.1477,47.1228,,44.74379026,56.2906,,,,,,,
2-Nov-2001,47.4035,46.1246,47.8714,,40.9039,55.685,,,,,,,
9-Nov-2001,47.9973,47.2327,46.4639,,42.60531638,55.685,,,,,,,
16-Nov-2001,49.3568,48.0238,48.5764,,43.95292934,55.685,,,,,,,
23-Nov-2001,48.0165,51.2697,47.7426,,44.8288,55.685,,,,,,,
30-Nov-2001,49.7507,50.186,47.1428,,45.10471077,55.4945,,,,,,,
7-Dec-2001,50.9044,48.0001,46.0001,,45.78414089,55.4945,,,,,,,
14-Dec-2001,49.3981,49.6902,46.5734,,46.93311581,55.4945,,,,,,,
21-Dec-2001,50.1917,51.9061,46.8655,,46.08145863,55.4945,,,,,,,
28-Dec-2001,51.3385,51.8197,46.0001,,46.43375149,54.9523,,,,,,,
4-Jan-2002,51.4763,51.0409,45,,46.46659377,54.9523,,,,,,,
11-Jan-2002,51.6,51.9,45,,48.25493101,54.9523,,,,,,,
18-Jan-2002,51.7,51.9497,45.1428,,46.50214661,54.9523,,,,,,,
25-Jan-2002,49.6,50.9941,45.1428,,47.22126009,54.9523,,,,,,,
1-Feb-2002,49.5102,51.038,45.1428,,49.95729733,54.1341,,,,,,,
8-Feb-2002,50.5965,51.1013,45.1428,,49.53557805,54.1341,,,,,,,
15-Feb-2002,49.8764,50.3566,49.9999,,47.54254043,54.1341,,,,,,,
22-Feb-2002,48.555,49.458,49.999,,45.9719294,54.5077,,,,,,,
1-Mar-2002,48.43,48.999,49.1057,,46.28244094,54.5077,,,,,,,
8-Mar-2002,47.1334,48.3858,48.8779,,45.89861323,54.5077,,,,,,,
15-Mar-2002,46.8027,47.961,48.5911,,46.61357114,54.5077,,,,,,,
22-Mar-2002,45.9509,46.9354,48.0034,,44.82023592,54.5077,,,,,,,
29-Mar-2002,44.6167,45.6035,46.5467,,42.62605882,54.5077,,,,,,,
5-Apr-2002,44.313,45.3705,46.3237,,42.99944461,54.5077,,,,,,,
12-Apr-2002,42.8392,43.2182,44.6623,,43.04463748,54.5077,,,,,,,
19-Apr-2002,42.3262,43.2091,44.4364,,41.64273803,50,,,,,,,
26-Apr-2002,41.3554,42.1868,43.491,,39.42517198,50,,,,,,,
3-May-2002,38.97,40.059,41.28,,36.35749025,50,,,,,,,
10-May-2002,36.1012,37.4548,39.0537,,36.22604907,50,,,,,,,
17-May-2002,35.1882,36.9905,38.8516,,34.86184436,46.3805,,,,,,,
24-May-2002,34.3186,36.7195,37.8026,,34.53436886,46.3805,,,,,,,
31-May-2002,34.2241,35.986,37.0098,,28.52094026,46.3805,,,,,,,
7-Jun-2002,32.6294,32.9387,34.4954,,31.47135404,46.3805,,,,,,,
14-Jun-2002,30.9987,32.8128,34.0649,,31.10848283,46.3805,,,,,,,
21-Jun-2002,30.4313,31.6494,32.6475,,28.13047879,46.3805,,,,,,,
28-Jun-2002,29.8067,30.5189,31.6,,28.87714245,43.3217,,,,,,,
5-Jul-2002,29.5104,30.3288,31.145,,28.83429923,43.3217,,,,,,,
12-Jul-2002,28.9907,29.6241,31.4559,,29.03250362,43.3217,,,,,,,
19-Jul-2002,28.9417,29.7355,31.4205,,30.06711155,43.3217,,,,,,,
26-Jul-2002,29.8439,29.5922,31.4733,,28.93440121,43.3217,,,,,,,
2-Aug-2002,29.2965,28.6581,31.4684,,29.29165197,40.625,,,,,,,
9-Aug-2002,29.9563,28.9948,30.8056,,27.95789685,40.625,,,,,,,
16-Aug-2002,29.301,28.9817,28.8,,29.9554835,40.625,,,,,,,
23-Aug-2002,30.1027,30.8052,30.8596,,30.02586861,40.625,,,,,,,
30-Aug-2002,30.3995,30.7048,30.9047,,29.70078417,40.625,,,,,,,
6-Sep-2002,30.3911,30.1293,32.0001,,27.66618037,40.625,,,,,,,
13-Sep-2002,28.4412,26.9544,29.9411,,28.46247859,40.625,,,,,,,
20-Sep-2002,29.5919,30.1057,32.0001,,30.88427051,40.625,,,,,,,
27-Sep-2002,30.5311,30.6916,32.0327,,30.69622979,40.625,,,,,,,
4-Oct-2002,30.5607,31.0526,31.2974,,29.84954492,40.0996,,,,,,,
11-Oct-2002,30.4902,30.7888,31.4689,,29.62642122,40.0996,,,,,,,
18-Oct-2002,30.4479,30.6021,31.9686,,30.21361465,40.0996,,,,,,,
25-Oct-2002,31.1455,31.2825,31.2499,,30.68183966,40.0996,,,,,,,
1-Nov-2002,31.3626,31.5005,31.8957,,28.21268359,40.0996,,,,,,,
8-Nov-2002,31.3901,31.853,31.8957,,29.38692444,40.1,,,,,,,
15-Nov-2002,31.5132,31.2593,31.6702,,30.22862693,40.1,,,,,,,
22-Nov-2002,31.684,32.0376,32.1665,,30.5285732,40.1,,,,,,,
29-Nov-2002,31.8909,31.9006,31.8924,,31.48708779,39.6065,,,,,,,
6-Dec-2002,32.065,32.5059,32.6788,,32.2115234,39.6065,,,,,,,
13-Dec-2002,32.5731,32.8494,33.1387,,30.10195388,39.6065,,,,,,,
20-Dec-2002,30.7072,33.4277,33,,31.47031261,43.4952,,,,,,,
27-Dec-2002,32.4929,33.0001,34.0001,,33.14842387,43.4952,,,,,,,
3-Jan-2003,34.0497,33.0006,34.0119,,32.67739126,43.4952,,,,,,,
10-Jan-2003,32.0975,33.4667,34.1374,,31.88388125,43.4952,,,,,,,
17-Jan-2003,33.0773,33.6131,34.3992,,33.2713169,43.4952,,,,,,,
24-Jan-2003,33.6104,34.35,34.3992,,31.94327674,44.8733,,,,,,,
31-Jan-2003,33.0864,34.0001,34.8001,,30.49237883,44.8733,,,,,,,
7-Feb-2003,33.1211,33.9904,34.5664,,31.75927475,44.8733,,,,,,,
14-Feb-2003,33.3792,33.8566,34.471,,31.61409679,44.8733,,,,,,,
21-Feb-2003,33.3701,33.8709,34.8258,,32.12029762,44.8733,,,,,,,
28-Feb-2003,34.2481,33.9943,34.965,,33.720219,44.5714,,,,,,,
7-Mar-2003,34.6493,33.8413,34.8934,,30.69052513,44.5714,,,,,,,
14-Mar-2003,34.0113,33.721,34.9251,,33.29238866,44.5714,,,,,,,
21-Mar-2003,34.283,34.9241,35.0505,,32.50822449,44.5714,,,,,,,
28-Mar-2003,34.4969,34.8247,35.6235,,34.43468162,44.7212,,,,,,,
4-Apr-2003,34.6594,34.8951,35.7492,,31.61499735,44.7212,,,,,,,
11-Apr-2003,34.7309,34.6078,35.5868,,34.44212438,44.7212,,,,,,,
18-Apr-2003,34.4435,34.2771,35.0632,,33.94525662,44.7212,,,,,,,
25-Apr-2003,34.3088,33.9806,35.1863,,31.4265,43.3285,,,,,,,
2-May-2003,33.9336,34.0346,35.1696,,34.36578418,43.3285,,,,,,,
9-May-2003,34.1792,34.2575,35.3433,,32.97042687,43.3285,,,,,,,
16-May-2003,34.1286,34.2306,35.2554,,33.31455438,42.3232,,,,,,,
23-May-2003,33.8013,34.0603,35.0318,,34.2670022,42.3232,,,,,,,
30-May-2003,32.0107,33.4223,34.4095,,34.08225738,41.52,,,,,,,
6-Jun-2003,31.2143,33.0362,34.3373,,33.89878613,41.52,,,,,,,
13-Jun-2003,32.6952,33.8647,34.5087,,32.14866785,41.52,,,,,,,
20-Jun-2003,32.9502,33.986,34.1457,,32.80509717,41.52,,,,,,,
27-Jun-2003,32.5924,33.9887,34.1874,,33.50772318,40,,,,,,,
4-Jul-2003,32.8,33.4693,33.772,,32.97795281,40,,,,,,,
11-Jul-2003,32.8,33.755,35.1097,,32.70987084,40,,,,,,,
18-Jul-2003,32.8,33.5,34.6,,32.92368128,40,,,,,,,
25-Jul-2003,32.8164,34.7099,34.625,,33.50626191,40,,,,,,,
1-Aug-2003,32.2618,34.967,35.5001,,33.41182452,38.7088,,,,,,,
8-Aug-2003,32.0522,34.7166,34.9999,,32.56980239,38.7088,,,,,,,
15-Aug-2003,31.7998,33.4521,33.2873,,33.57345677,38.7088,,,,,,,
22-Aug-2003,32.2641,34.5817,33.9518,,33.25714107,38.7088,,,,,,,
29-Aug-2003,31.083,34.5001,33,,32.34864646,38.9171,,,,,,,
5-Sep-2003,32.9714,34.2257,33.9988,,33.03695493,38.9171,,,,,,,
12-Sep-2003,33.0304,34.3015,34.557,,31.40668308,38.9171,,,,,,,
19-Sep-2003,33.0247,34.6126,35.0788,,33.36356272,38.9171,,,,,,,
26-Sep-2003,32.1693,33.3423,35.0023,,33.65714502,39.3926,,,,,,,
3-Oct-2003,32.5,33.7,34.6,,33.77225523,39.3926,,,,,,,
10-Oct-2003,32.6,33.8,34.5,,33.03196945,39.3926,,,,,,,
17-Oct-2003,33.222,34.5925,35.2082,,33.05294747,39.3926,,,,,,,
24-Oct-2003,33.8232,34.5818,35.1502,,32.97052681,39.3714,,,,,,,
31-Oct-2003,34.3907,34.4798,35.0001,,34.12730309,39.3714,,,,,,,
7-Nov-2003,34.4027,34.4344,35.1649,,34.34147274,39.3714,,,,,,,
14-Nov-2003,32.2703,33.5173,32.8984,,34.65629785,39.3714,,,,,,,
21-Nov-2003,31.1248,32.019,31.9947,,34.60939589,39.3714,,,,,,,
28-Nov-2003,29.8,30.5,31.4,,32.92553196,35.7,,,,,,,
5-Dec-2003,25.9,27.2,28.6,,31.83172421,35.7,,,,,,,
12-Dec-2003,21.9,23.4,24.8,,30.55481147,35.7,,,,,,,
19-Dec-2003,16.1,18.5,19.6,,27.5112672,35.7,,,,,,,
