Date,Opening _Balance,91_days,182_days,273_days,364_days,Total_Sales,Settlement_cost,Maturity,Special_Taps,Outstanding_Balance_91_days,Outstanding_Balance_182_days,Outstanding_Balance_273_days,Outstanding_Balance_364_days,Outstanding_Balance
4-Jan-2008,3458660.857,610,5585,6500,7150,19845,16118.77,84385,0,141365,352316.985,489148,2411290.872,3394120.857
11-Jan-2008,3394120.857,20689,13500,16460,22620,73269,67561.1415,56035,0,155429,360816.985,494563,2400545.872,3411354.857
18-Jan-2008,3411354.857,10280,15945,27444,56755,110424,100022.7405,88446,0,159589,344286.985,505497,2423959.872,3433332.857
25-Jan-2008,3433332.857,21535,21185.002,16440,52175,111335.002,100025.5803,60338,0,175256,338796.987,511007,2459269.872,3484329.859
1-Feb-2008,3484329.859,18120.2,20978.4,16274,52040,107412.6,97486.7871,70252,0,183091.2,349750.387,510897,2477751.872,3521490.459
8-Feb-2008,3521490.459,7084,10105,5100,13629,35918,33065.9804,69625,0,169615.2,358355.387,501777,2458035.872,3487783.459
15-Feb-2008,3487783.459,20540,21180,16445,51200,109365,100019.4634,96813,0,159301.2,363166.387,501872,2475995.872,3500335.459
22-Feb-2008,3500335.459,10915,20000,16430,47558,94903,86350.6137,97325,0,144561.2,377776.387,496482,2479093.872,3497913.459
29-Feb-2008,3497913.459,6230,21185,16410,51053,94878,86078.7091,84914,0,135386.2,395932.387,491072,2485486.872,3507877.459
7-Mar-2008,3507877.459,14340,3500,11500,34000,63340,55899.124,37189,0,145551.2,378312.387,499238,2510926.872,3534028.459
14-Mar-2008,3534028.459,1920,22290,20835,54150,99195,86054.0875,30871,0,145140.2,394212.387,504323,2558676.872,3602352.459
21-Mar-2008,3602352.459,1511,6625,21945,47050,77131,68991.1558,57266.0001,0,140428.2,396537.387,519245,2566006.872,3622217.459
28-Mar-2008,3622217.459,2485,11500,11000,3500,28485,26364.8764,39800,0,128099.2,402851.387,524845,2555106.872,3610902.459
4-Apr-2008,3610902.459,11159,21150,21840,51160,105309,95808.2285,76915,0,138648.2,402691.387,537235,2560721.872,3639296.459
11-Apr-2008,3639296.459,9428,8660,5450,44425,67963,61248.1141,124353,0,127387.2,395451.387,523171,2536896.872,3582906.459
18-Apr-2008,3582906.459,5123,16000,1500,19000,41623,38102.9558,87255,0,122230.2,402851.387,524171,2488021.872,3537274.459
25-Apr-2008,3537274.459,2025,36000,2000,17610,57635,52489.0841,94844,0,102720.2,432591.387,509712,2455041.872,3500065.459
2-May-2008,3500065.459,15474,1250,500,34090,51314,46632.4708,114470.2,0,100074,421341.387,482612,2432881.872,3436909.259
9-May-2008,3436909.259,120,11920,16510,51090,79640,71337.87,102804,0,93110,412006.387,469527,2439101.872,3413745.259
16-May-2008,3413745.259,10325,9750,10500,37750,68325,61959.33,115849,0,82895,384556.387,477998,2420771.872,3366221.259
23-May-2008,3366221.259,25834,22500,20500,14779,83613,77785.37,93290,0,97814,375201.387,491798,2391730.872,3356544.259
30-May-2008,3356544.259,5885,18345,28575,40780,93585,80045.57,97140,0,97469,374601.387,498443,2382475.872,3352989.259
6-Jun-2008,3352989.259,14890,21340,11500,35500,83230,68209.2284,38159,0,98019,380441.387,506943,2412656.872,3398060.259
13-Jun-2008,3398060.272,8640,21295,13500,56815,100250,90656.1634,24255,0,104739,393466.387,519443,2456406.872,3474055.259
20-Jun-2008,3474055.272,5655,21295,20014,58265,105229,93658.9592,33956,0,108883,400511.387,531872,2504061.872,3545328.259
27-Jun-2008,3545328.272,5092,8470,19500,55115,88177,79053.1409,49650,0,111490,407141.387,543672,2521551.872,3583855.259
4-Jul-2008,3583855.259,1717,4850,2029,10675,19271,17371.8469,95094,0,102048,406406.387,523831,2475746.872,3508032.259
11-Jul-2008,3508032.259,6324,17940,36045,60480,120789,91165.7046,75516,0,98944,410846.387,538088,2505426.872,3553305.259
18-Jul-2008,3553305.259,3039,1379,600,20665,25683,21433.0599,76423,0,96860,396280.387,517188,2492236.872,3502565.259
25-Jul-2008,3502565.259,7539,21265,22005,56890,107699,97009.7189,67410.002,0,102374,396360.387,525148,2518971.872,3542854.259
1-Aug-2008,3542854.259,10638,14979,3600,40500,69717,62902.4456,90622.4,0,97538,390360.987,525208,2508841.872,3521948.859
8-Aug-2008,3521948.859,854,9850,22045,43000,75749,67858.0843,74500,0,98272,390105.987,533753,2501066.872,3523197.859
15-Aug-2008,3523197.859,5325,6420,500,40550,52795,47269.0377,52284,0,93272,375345.987,532253,2522837.872,3523708.859
