Date,24 _Months_Sales ,24 _Months_Maturities,3_Year_Sales,3_Year_Maturities,5_Year_Sales,5_Year_Maturities,7_Year_Sales,7_Year_Maturities,10_Year_Sales,10_Year_Maturities,15_Year_Sales,15_Year_Maturities,Bonds_24_months,Bonds_3_year,Bonds_5_year,Bonds_7_year,Bonds_10_year,Bonds_15_year,Bonds_TOTAL ,
25-Oct-07,0,29369,0,0,0,0,0,0,0,0,0,0,617575.401,881706.4,1276763.7,24695,27805,15274,2843819.501,
29-Oct-07,31570,0,34450,0,52315,0,0,0,0,0,0,0,649145.401,916156.4,1329078.7,24695,27805,15274,2962154.501,
19-Nov-07,14306,0,14380,0,9400,0,21174,0,22191,0,23079,0,663451.401,930536.4,1338478.7,45869,49996,38353,3066684.501,
21-Nov-07,0,35445,0,0,0,0,0,0,0,0,0,0,628006.401,930536.4,1338478.7,45869,49996,38353,3031239.501,
19-Dec-07,0,32662,0,0,0,0,0,0,0,0,0,0,595344.401,930536.4,1338478.7,45869,49996,38353,2998577.501,
24-Dec-07,2055.5,0,15314,0,57247,0,0,0,0,0,0,0,597399.901,945850.4,1395725.7,45869,49996,38353,3073194.001,
21-Jan-08,33450,0,37746,0,31663,0,0,0,0,0,0,0,630849.9,983596.4,1427388.7,45869,49996,38353,3176053,
23-Jan-08,0,28751.5,0,0,0,0,0,0,0,0,0,0,602098.4,983596.4,1427388.7,45869,49996,38353,3147301.5,
30-Jan-08,0,0,0,0,0,0,0,0,0,0,0,0,602098.4,983596.4,1427388.7,45869,49996,38353,3147301.9,
2-Feb-08,0,0,0,0,0,0,0,0,0,0,0,0,602098.4,983596.4,1427388.7,45869,49996,38353,3147301.5,
23-Feb-08,0,27685,0,0,0,0,0,0,0,0,0,0,574413.4,983596.4,1427388.7,45869,49996,38353,3119616.5,
25-Feb-08,22388,0,25325,0,32720,0,29180,0,30215,0,19219,22388,596801.4,1008921.4,1460108.7,75049,80211,57572,3256275.5,
28-Feb-08,0,0,0,0,0,0,0,0,0,0,0,0,596801.4,1008921.4,1460108.7,75049,80211,57572,3256275.5,
25-Mar-08,29633,0,25730,0,41535,0,0,0,0,0,0,0,626.434.4,1034651.4,1501643.7,75049,80211,57572,3353173.5,
26-Mar-08,0,26208,0,0,0,0,0,0,0,0,0,0,600.226.4,1034651.4,1501643.7,75049,80211,57572,3353173.5,
23-Apr-08,0,25007,0,0,0,0,0,0,0,0,0,0,575219.4,1034651.4,1501643.7,75049,80211,57572,3301958.5,
28-Apr-08,33228,0,45500,0,57850,0,0,0,0,0,0,0,608447.4,1080151.4,1559493.7,75049,80211,57572,3438536.5,
19-May-08,22218,0,0,0,0,0,0,0,0,0,0,0,608447.4,1080154.7,1559586.7,75049,80211,57572,3461020.5,
21-May-08,0,20321,5204,0,19000,0,21960,0,24689,0,18950,0,630665.4,1085358.4,1578586.7,97009,104900,76522,3573041.5,
23-Jun-08,28414,0,9487,0,60048,0,0,0,0,0,0,0,638758.4,1094845.4,1638634.7,97009,104900,76522,3650669.5,
25-Jun-08,0,25173,0,0,0,0,0,0,0,0,0,0,613585.4,1094845.4,1638634.7,97009,104900,76522,3625496.5,
21-Jul-08,21532,0,10403,0,45600,0,0,0,0,0,0,0,654047.4,1025235.4,1559586.7,75049,104900,76522,3703031.5,
23-Jul-08,0,25523,0,0,0,0,0,0,0,0,0,0,654047.4,1025235.4,1559586.7,75049,104900,76522,3677508.5,
18-Aug-08,1294,0,13085,0,29391,0,24079,0,24764,0,18938,0,610888.4,1038320.4,1713625.7,121088,129664,95460,3789059.5,
20-Aug-08,0,19397,0,0,0,0,0,0,0,0,0,0,591491.4,1038320.4,1713625.7,121088,129664,95460,3769662.5,
21-Aug-08,0,0,0,21700,0,0,0,0,0,0,0,0,591491.4,1016620.4,1713625.7,121088,129664,95460,3747962.5,
17-Sep-08,0,16814,0,0,0,0,0,0,0,0,0,0,574677.4,1016620.4,1713628.7,121088,129664,95460,3651138.5,
18-Sep-08,0,0,0,11167,0,0,0,0,0,0,0,0,574677.4,1005453.4,1713628.7,121088,129664,95460,3639971.5,
19-Sep-08,22032,0,3544,0,6698,0,0,0,0,0,0,0,596709.4,1008997.4,1720326.7,121088,129664,95460,3672245.5,
17-Oct-08,1000,0,180,0,1160,0,0,0,0,0,0,0,597709.4,1009177.4,1721486.7,121088,129664,95460,3674585.5,
22-Oct-08,0,25662,0,0,0,0,0,0,0,0,0,0,572047.4,1009177.4,1721486.7,121088,129664,95460,3648923.5,
24-Oct-08,0,0,0,45784,0,0,0,0,0,0,0,0,572047.4,963393.4,1721486.7,121088,129664,95460,3603139.5,
19-Nov-08,0,116228.852,0,28313,0,0,0,0,0,0,0,0,455818.548,935080.4,1721486.7,121088,129664,95460,3458597.648,
20-Nov-08,0,0,0,0,0,0,0,0,0,0,0,0,455818.548,935080.4,1721486.7,121088,129664,95460,3458597.648,
24-Nov-08,115798,0,4660,0,8320,0,29,0,0,0,352,0,571616.548,939740.4,1729806.7,121117,129664,95812,3587756.648,
17-Dec-08,0,15198,0,0,0,0,0,0,0,0,0,0,556418.548,939740.4,1729806.7,121088,129664,95812,3572529.648,
18-Dec-08,0,0,0,28134,0,0,0,0,0,0,0,0,556418.548,911606.4,1729806.7,121088,129664,95812,3544395.648,
22-Dec-08,34410,0,27934,0,0,0,0,0,0,0,0,0,590828.548,939540.4,1729806.7,121088,129664,95812,3606739.648,
2-Jan-09,0,0,0,0,0,0,0,0,0,0,0,0,590828.5,939540.4,1741060.7,121117,129664,95812,3618022.6,
21-Jan-09,0,21842,0,0,0,0,0,0,0,0,0,0,568986.5,939540.4,1741060.7,121117,129664,95812,3596180.6,
22-Jan-09,0,0,0,44831,0,0,0,0,0,0,0,0,568986.5,894709.4,1741060.7,121117,129664,95812,3551349.6,
26-Jan-09,2649,0,1439,0,49550,0,0,0,0,0,0,0,571635.5,896148.4,1790610.7,121117,129664,95812,3604987.6,
19-Feb-09,0,0,0,43274,0,0,0,0,0,0,0,0,571635.5,852874.4,1790610.7,121117,129664,95812,3561713.6,
23-Feb-09,6668,0,5229,0,12159,0,0,0,0,0,203,0,578303.5,858103.4,1802769.7,121117,129664,96015,3585972.6,
25-Feb-09,0,31104,0,0,0,0,0,0,0,0,0,0,547199.5,858103.4,1802769.7,121117,129664,96015,3554868.6,
23-Mar-09,11079,0,27,0,10388,0,0,0,0,0,0,0,558278.5,858130.4,1813157.7,121117,129664,96015,3576362.6,
26-Mar-09,0,16051,0,38277,0,0,0,0,0,0,0,0,542227.5,819853.4,1813157.7,121117,129664,96015,3522034.6,
22-Apr-09,0,29718,0,0,0,0,0,0,0,0,0,0,512509.5,819853.4,1813157.7,121117,129664,96015,3492316.6,
23-Apr-09,0,0,0,35029,0,0,0,0,0,0,0,0,512509.5,784824.4,1813157.7,121117,129664,96015,3457297.6,
27-Apr-09,14394,0,10099,0,24006,0,0,0,0,0,0,0,526903.5,794923.4,1837163.7,121117,129664,96015,3505786.6,
21-May-09,0,8809,0,27962,0,0,0,0,0,0,0,0,518094.5,766961.4,1837163.7,121117,129664,96015,3469015.6,
22-May-09,23515,0,24852,0,25079,0,0,0,0,0,3,0,541609.5,791813.4,1862242.7,121117,129664,96018,3542464.6,
22-Jun-09,12642,0,36904,0,45507,0,0,0,0,0,0,0,554251.5,828717.4,1907749.7,121117,129664,96018,3637517.6,
24-Jun-09,0,15555,0,0,0,0,0,0,0,0,0,0,538696.5,828717.4,1907749.7,121117,129664,96018,3621962.6,
25-Jun-09,0,0,0,15705,0,0,0,0,0,0,0,0,538696.5,813012.4,1907749.7,121117,129664,96018,3606257.6,
22-Jul-09,0,32113,0,0,0,0,0,0,0,0,0,0,506583.5,813012.4,1907749.7,121117,129664,96018,3574144.6,
23-Jul-09,0,0,0,25954,0,0,0,0,0,0,0,0,506583.5,787058.4,1907749.7,121117,129664,96018,3548190.6,
27-Jul-09,35508,0,32121,0,6524,0,0,0,0,0,0,0,542091.5,819179.4,1914273.7,121117,129664,96018,3622343.6,
20-Aug-09,0,0,0,26766,0,0,0,0,0,0,0,0,542091.5,792413.4,1914273.7,121117,129664,96018,3595577.6,
24-Aug-09,23632,0,21100,0,32100,0,29,0,1159,0,29,0,565723.5,813513.4,1946373.7,121146,130823,96047,3673626.6,
26-Aug-09,0,16972,0,0,0,0,0,0,0,0,0,0,548751.5,813513.4,1946373.7,121146,130823,96047,3656654.6,
17-Sep-09,0,5336,0,0,0,0,0,0,0,0,0,0,543415.5,813513.4,1946373.7,121146,130823,96047,3651318.6,
21-Sep-09,40010,0,22499,0,12438,0,29,0,0,0,0,0,583425.5,836012.4,1958811.7,121175,130823,96076,3727482.6,
23-Sep-09,0,0,0,23786,0,0,0,0,0,0,0,0,583425.5,812226.4,1958811.7,121175,130823,96076,3703696.6,
22-Oct-09,0,31570,0,0,0,0,0,0,0,0,0,0,551855.5,812226.4,1958811.7,121146,130823,96047,3670909.6,
26-Oct-09,34687,0,49992,0,49670,0,0,0,0,0,0,0,586542.5,862218.4,2008481.7,121146,130823,96047,3805258.6,
28-Oct-09,0,0,0,36532,0,0,0,0,0,0,0,0,586542.5,825686.4,2008481.7,121146,130823,96047,3768726.6,
18-Nov-09,0,14306,0,0,0,0,0,0,0,0,0,0,572236.5,825686.4,2008481.7,121146,130823,96047,3754420.6,
19-Nov-09,0,0,110891.6736,127092.371,0,0,0,0,0,0,0,0,572236.5,809485.7026,2008481.7,121146,130823,96047,3718470.6,
23-Nov-09,22600,0,25914,0,30645,0,20000,0,20000,0,10054,0,594836.5,835399.7026,2039126.7,141146,150823,106101,3847683.6,
17-Dec-09,0,0,0,38117,0,0,0,0,0,0,0,0,594836.5,797282.7,2039126.7,141146,150823,106101,3809566.6,
21-Dec-09,33105,0,46369,0,50100,0,0,0,0,0,0,0,627941.5,843651.7,2089226.7,141146,150823,106101,3939140.6,
23-Dec-09,0,2055,0,0,0,0,0,0,0,0,0,0,625886.5,843651.7,2089226.7,141146,150823,106101,3937085.6,
20-Jan-10,0,33450,0,0,0,0,0,0,0,0,0,0,592436.5,843651.7,2089226.7,141146,150823,106101,3923384.9,
21-Jan-10,0,0,0,28394,0,0,0,0,0,0,0,0,592436.5,815257.7,2089226.7,141146,150823,106101,3894991.3,
25-Jan-10,32246,0,44821,0,60852,0,0,0,0,0,0,0,624682.5,860078.7,2150078.7,141146,150823,106101,4032909.9,
22-Feb-10,20760,0,21080,0,28389,0,23635,0,24955,0,13646,0,645442.5,881158.7,2178467.7,164781,175778,119747,4165374.9,
24-Feb-10,0,22388,0,11472,0,0,0,0,0,0,0,0,623054.5,869686.7,2178467.7,164781,175778,119747,4131514.9,
25-Feb-10,0,0,0,0,0,0,0,0,0,0,0,0,623054.5,869686.7,2178467.7,164781,175778,119747,4131514.9,
22-Mar-10,30469,0,41087,0,52676,0,0,0,0,0,0,0,653523.5,910773.7,2231143.7,164781,175778,119747,4255746.9,
25-Mar-10,0,29633,0,30188,0,0,0,0,0,0,0,0,623890.5,880585.7,2231143.7,164781,175778,119747,4195925.9,
26-Mar-10,0,29633,0,30188,0,0,0,0,0,0,0,0,594257.5,850397.7,2231143.7,164781,175778,119747,4166292.9,
22-Apr-10,0,0,0,42864,0,0,0,0,0,0,0,0,594257.5,807533.7,2231143.7,164781,175778,119747,4093240.9,
26-Apr-10,17208,0,38169,0,45122,0,0,0,0,0,0,0,611465.5,845702.7,2276265.7,164781,175778,119747,4193739.9,
28-Apr-10,0,33228,0,0,0,0,0,0,0,0,0,0,578237.5,845702.7,2276265.7,164781,175778,119747,4160511.9,
19-May-10,0,22218,0,0,0,0,0,0,0,0,0,0,556019.5,845702.7,2276265.7,164781,175778,119747,4138293.9,
20-May-10,0,0,0,10815,0,0,0,0,0,0,0,0,556019.5,834887.7,2276265.7,164781,175778,119747,4127478.9,
24-May-10,19904,0,3229,0,5975,0,25614,0,29890,0,15000,0,575923.5,838116.7,2282240.7,190395,205668,134747,4227090.9,
