Date,BOZ_Inflows_Mines,BOZ_Inflows_Other_Non-GRZ,BOZ_Inflows_Mining_Taxes,BOZ_Inflows_Donor_Inflows,,BOZ_Outflows_Dealing_Net_Sales,BOZ_Outflows_Other_Non-GRZ,BOZ_Outflows_GRZ_Debt_Servicing,BOZ_Outflows_GRZ_Other_Uses,Gross_International_Reserves
4-Jan-13,0,187.73,0,0,,44.5,5.784,0,0.073,3206.368621
11-Jan-13,11.387,4.738,0,0.77,,0,6.37,0,0,3216.893621
18-Jan-13,0,9.386,0,0.559,,108,2.205,6.403,2.565,3107.665621
25-Jan-13,0,15.009,0,0,,31,10.004,0,0.981,3080.689621
31-Jan-13,0,20.9,0,0,,5,1.25,0,5.2,3090.139621
1-Feb-13,0,1.383,0,0,,0,1.081,0.848,0,3089.593621
8-Feb-13,0,2.448,0,0,,0,7.192,0,186,2898.849621
15-Feb-13,0,19.174,0,0,,0,19.032,0,0,2898.991621
22-Feb-13,0,5.44,0,0,,30,12.377,0,74.738,2787.316621
28-Feb-13,0,0.906,0,0.014,,34,17.766,0.829,0.496,2735.145621
1-Mar-13,0,2.002,0,0,,0,0,0,0,2737.147621
8-Mar-13,0,27.777,0,0,,10,0.254,0.12,0,2754.550621
15-Mar-13,0,3.125,0,12.054,,40,21.855,2.903,0,2704.971621
22-Mar-13,0,24.629,0,0,,34,17.49,20.156,0,2657.954621
29-Mar-13,0,13.392,0,0,,0,9.06,9.296,20,2632.990621
5-Apr-13,0,2.714,0,0.073,,20,6.702,3.289,1.737,2604.049621
12-Apr-13,60,16.3,0,0,,20,3.074,19.697,6.094,2631.484621
19-Apr-13,0,6.16,0,0,,0,7.031,0.829,0,2629.784621
26-Apr-13,0,6.293,0,0.187,,140,4.66,0,6.033,2485.571621
30-Apr-13,0,11.237,0,0,,0,0.101,0,0,2496.707621
3-May-13,0,8.543,0,0,,0,0.224,0,0,2505.026621
10-May-13,0,6.537,0,0.285,,0,2.89,5.667,0.193,2503.098621
17-May-13,0,1.379,0,2.789,,0,20.075,0,0,2487.191621
24-May-13,0,5.693,0,0.744,,0,2.925,0.758,0,2489.945621
31-May-13,0,4.837,0,5.795,,0,1.449,0,0,2499.128621
7-Jun-13,0,27.936,0,0,,-8,3.759,0,0.595,2530.710621
14-Jun-13,0,8.399,0,7.956,,39,14.764,0.888,1.28,2491.133621
21-Jun-13,0,4.708,0,3.975,,0,11.227,0,0,2488.589621
28-Jun-13,0,5.913,0,13.116,,20,12.864,3.334,3.118,2468.302621
5-Jul-13,0,3.127,0,0,,0,5.718,0.043,0,2465.668621
12-Jul-13,0,39.086,0,0.956,,0,1.806,8.015,0.539,2495.350621
19-Jul-13,0,4.144,0,0,,0,0.823,0,0.152,2498.519621
26-Jul-13,0,6.701,0,0.278,,0,1.902,1.663,0,2501.933621
31-Jul-13,0,4.465,0,0.276,,0,0.607,0,0,2506.067621
2-Aug-13,0,6.695,0,0.763,,0,4.913,0.833,0,2507.779621
9-Aug-13,0,11.812,0,3.13,,-17.5,0.873,3.13,0.314,2535.904621
16-Aug-13,0,4.079,0,0,,0,4.791,0.895,0.033,2534.264621
23-Aug-13,0,6.771,0,0.146,,0,0.833,1.428,0,2538.920621
30-Aug-13,0,5.928,0,1.742,,-15,10.805,4.285,0,2546.500621
6-Sep-13,0,6.126,0,8.036,,-2,3.543,29.202,1.425,2528.492621
13-Sep-13,0,152.426,0,0,,-16,8.499,0,2.108,2686.311621
20-Sep-13,0,15.249,0,3.899,,-12,9.429,23.462,1.209,2683.359621
27-Sep-13,0,2.598,0,0,,-6,2.163,13.725,0,2676.069621
30-Sep-13,0,1.449,0,0,,-10,1.239,0,0,2686.279621
4-Oct-13,0,5.637,0,1.934,,-19,0.009,0,0,2712.841621
11-Oct-13,0,39.055,0,0.721,,-5,10.496,0,0,2747.121621
18-Oct-13,0,7.557,0,0.138,,-4,1.234,3.712,0.496,2753.374621
25-Oct-13,0,11.436,0,1.233,,-7.5,1.702,14.073,0,2757.768621
31-Oct-13,0,41.451,0,0,,0,6.156,0,0,2793.063621
1-Nov-13,0,0.543,0,0.131,,20,44.09,0,0,2729.647621
8-Nov-13,0,34.246,0,0.366,,0,32.735,0.978,0,2730.546621
15-Nov-13,0,2.402,0,0,,0,4.549,2.188,0,2726.211621
22-Nov-13,0,9.873,0,5.62,,0,3.626,0.241,6.395,2731.442621
29-Nov-13,0,7.905,0,13.108,,0,8.853,0,0,2743.602621
6-Dec-13,0,4.159,0,2.376,,0,3.665,0.338,0,2746.134621
13-Dec-13,0,11.134,0,0.455,,0,4.931,0.233,0,2752.559621
20-Dec-13,0,6.693,0,15.945,,0,9.379,6.357,0.047,2759.414621
27-Dec-13,0,11.355,0,0.46,,-24,2.676,13.176,0.076,2779.301621
31-Dec-13,0,6.372,0,0.741,,70,2.443,5.187,0,2708.784621
3-Jan-14,0,1.103,0,0,,0,2.916,0,0,2706.971621
10-Jan-14,0,-0.291,0,15,,0,7.848,0,0.278,2713.554621
17-Jan-14,0,72.785,0,0,,0,8.645,0.295,0,2777.399621
24-Jan-14,0,16.177,0,0.244,,0,0.069,1.691,0,2792.060621
31-Jan-14,0,3.193,0,4.301,,0,18.337,3.811,0.997,2776.409621
7-Feb-14,0,10.866,0,0,,0,8.075,9.463,0,2769.737621
14-Feb-14,0,11.15,0,0.016,,0,2.355,0.273,0,2778.275621
21-Feb-14,0,2.758801,0,0.121,,0,3.173,2.275,0.038,2775.669422
28-Feb-14,0,3.719,0,0.412,,80,1.778,0,0,2698.022422
7-Mar-14,0,31.552,0,6.168,,48,0.407,0,0,2687.335422
14-Mar-14,0,77.968,0,14.947,,60,0.359,3.981,0,2715.910422
21-Mar-14,0,34.014,0,0.725,,20,13.42,24.53,0,2692.699422
28-Mar-14,0,12.158,0,0.012,,0,1.654,6.774,0,2696.441422
31-Mar-14,0,21.268,0,0,,0,2.8459,0.231,0,2714.632522
4-Apr-14,0,4.107,0,0.335,,12.5,21.042,12.768,0,2672.764522
11-Apr-14,42,34.684,0,0.084,,0,12.716,2.688,0,2734.128522
18-Apr-14,0,997.283,0,5.614,,0,2.317,2.048,1.108,3731.552522
25-Apr-14,0,2.094,0,0.241,,0,7.531,0,0,3726.356522
30-Apr-14,0,2.768,0,0,,-1,2.09,0.293,0.045,3727.696522
2-May-14,0,3.456,0,0,,16,0.012,0,0,3715.140522
9-May-14,0,12.252,0,0,,40,4.185,0.3981788,0,3682.809343
16-May-14,0,3.17,0,2.739,,70,16.242,5.34871737,0.01203041,3597.115595
23-May-14,0,13.022,0,0.176,,80,4.991,0.83307,0,3524.489525
30-May-14,0,4.028,0,0,,108,7.617,0.16284,0,3412.737685
6-Jun-14,0,27.594,0,0.614,,-2,3.364,0.03873765,0.652125,3438.890823
13-Jun-14,0,14.039,0,3.055,,0,4.831,0.0036283,0.082816,3451.067379
20-Jun-14,0,45.938,0,0.777,,0,23.608,0,0.244047,3461.753776
27-Jun-14,0,32.224,0,0.406,,0,13.445,4.47651801,0.13251603,3465.643344
30-Jun-14,0,5.164,0,0,,0,17.648,0,0,3449.269776
4-Jul-14,0,3.676,0,0,,38,0.475,62.316,0,3352.154776
11-Jul-14,47.487,5.208,0,1.19,,-20,14.732,0,0,3411.307776
18-Jul-14,0,11.345,0,0.211,,31.14532166,6.345,0.01856,0,3385.354894
25-Jul-14,0,2.951,0,1.378,,0,8.899,1.98656754,1.23896844,3377.559358
31-Jul-14,0,21.051,0,0.174,,0,15.264,10.28429222,0,3373.236066
1-Aug-14,0,27.669,0,0.381,,0,3.373,0,0,3397.913066
8-Aug-14,0,3.381,0,0,,-40,4.277,0,4.882,3432.135066
15-Aug-14,0,4.304,0,0.462,,0,27.569,1.205,0,3408.127066
22-Aug-14,0,4.551,0,1.02,,-25,8.291,0.906,0.01,3429.491066
29-Aug-14,0,7.451,0,0.527,,0,10.501,0,0,3426.968066
5-Sep-14,0,21.041,0,0.523,,0,7.64,0,0,3440.892066
12-Sep-14,0,7.52,0,0.123,,0,36.229,0.549,0,3411.757066
19-Sep-14,0,9.306,0,1.776,,13,10.253,38.052,2.104,3359.430066
26-Sep-14,0,6.257,0,0,,0,11.871,0.113,0.263,3353.440066
30-Sep-14,0,0.634,0,0,,18,7.115,4.558,0,3324.401066
3-Oct-14,0,1.603,0,0.003,,0,2.982,12.113,0,3310.912066
10-Oct-14,0,14.147,0,7.848,,13,4.279,14.988,0,3300.640066
17-Oct-14,5.5,2.964,0,0.132,,20,16.632,43.317,0,3229.287066
24-Oct-14,14.365,2.418,0,0,,30,1.335,0.943,0,3213.792066
31-Oct-14,0,16.259,0,0.319,,30.5,7.158,0,0,3192.712066
7-Nov-14,0,30.4,0,0.003,,60.5,21.819,4.60331672,0,3136.192749
14-Nov-14,0,7.05,0,1.44274631,,28,7.434,0.8315005,0,3108.419995
21-Nov-14,0,11.296,0,0.36367049,,0,3.278,15.68177262,0,3101.119893
28-Nov-14,0,3.483,0,8.63276358,,0,4.09,0,0,3109.145657
5-Dec-14,0,7.428,0,2.398,,0,17.181,0,0,3101.790657
12-Dec-14,0.892,15.002,0,0.127,,0,6.731,0,1.075,3109.113657
19-Dec-14,0,11.224,0,0.3,,0,9.144,1.024,0.324,3111.037657
26-Dec-14,0,5.192,0,0.675,,0,6.919,3.199,0.065,3106.721657
31-Dec-14,0,1.278,0,0.54,,0,4.962,0.38,0.015,3103.182657
9-Jan-15,0,5.587,0,0.669,,20,15.775,0,1.458,3072.175
