Date,Interbank_US_Buying,Interbank_US_Selling,USDZMW,UK_Pound_Buying,UK_Pound_Selling,UK_Pound_Mid-rate,EURO_Buying,EURO_Selling,EURO_Mid-rate,SAR_Buying,SAR_Selling,SAR_Mid-rate
1/2/2006,3.497232143,3.539553571,3.518392857,5.970094375,6.214511875,6.092303125,4.155611643,4.288594,4.222102821,0.547075536,0.573609688,0.560342612
1/3/2006,3.47390625,3.52234375,3.498125,6.000983214,6.238297813,6.119640513,4.166816643,4.306848286,4.236832464,0.549259107,0.585650938,0.567455022
1/4/2006,3.476979167,3.52171875,3.499348958,6.03433875,6.27381375,6.15407625,4.191301625,4.351489071,4.271395348,0.558549643,0.585457188,0.572003415
1/5/2006,3.45375,3.4896875,3.47171875,6.038410625,6.219146875,6.12877875,4.198037813,4.34817525,4.273106531,0.558542813,0.585488125,0.572015469
1/6/2006,3.40890625,3.45484375,3.431875,5.945270938,6.18890875,6.067089844,4.104026,4.312294688,4.208160344,0.550638438,0.5785425,0.564590469
1/9/2006,3.400520833,3.44359375,3.422057292,6.012087679,6.19742375,6.104755714,4.089092375,4.229620857,4.159356616,0.552124375,0.579328125,0.56572625
1/10/2006,3.361354167,3.40625,3.383802083,5.916500714,6.1549375,6.035719107,4.060031286,4.199227429,4.129629357,0.552373125,0.580254688,0.566313906
1/11/2006,3.24765625,3.29921875,3.2734375,5.729819464,5.971822188,5.850820826,3.948572375,4.092427063,4.020499719,0.532170625,0.56184125,0.547005938
1/12/2006,3.222815,3.26109,3.2419525,5.64444,5.893505,5.7689725,3.90597,4.05672,3.981345,0.531165,0.55953,0.5453475
1/13/2006,3.243125,3.271875,3.2575,5.6165,5.86526,5.74088,3.886145,4.023425,3.954785,0.523995,0.553105,0.53855
1/16/2006,3.289583333,3.33421875,3.311901042,5.704271875,5.949455313,5.826863594,3.934225625,4.088331688,4.011278656,0.533024375,0.562285313,0.547654844
1/17/2006,3.285654762,3.323839286,3.304747024,5.701780536,5.942659375,5.822219955,3.923738929,4.073183,3.998460964,0.535560714,0.564635313,0.550098013
1/18/2006,3.282760417,3.33015625,3.306458333,5.7062275,5.958620938,5.832424219,3.92776275,4.085201688,4.006482219,0.532640313,0.564753438,0.548696875
1/19/2006,3.28921875,3.32328125,3.30625,5.70178125,5.937569063,5.819675156,3.930828938,4.078180438,4.004504688,0.534354688,0.562324688,0.548339688
1/20/2006,3.3090625,3.348125,3.32859375,5.708875625,5.93861625,5.823745938,3.93241425,4.078059688,4.005236969,0.540187188,0.56877625,0.554481719
1/23/2006,3.3325,3.3603125,3.34640625,5.791317679,6.032765938,5.912041808,3.98386725,4.125807,4.054837125,0.542315536,0.571504688,0.556910112
1/24/2006,3.345520833,3.3759375,3.360729167,5.844096563,6.080758125,5.962427344,4.0140035,4.159583143,4.086793321,0.544926429,0.574142188,0.559534308
1/25/2006,3.343630952,3.374732143,3.359181548,5.85147,6.08167375,5.966571875,4.012961571,4.165305688,4.089133629,0.542408929,0.571069688,0.556739308
1/26/2006,3.3640625,3.395,3.37953125,5.868995313,6.114609063,5.991802188,4.01899,4.17054075,4.094765375,0.542084107,0.57121875,0.556651429
1/27/2006,3.3909375,3.42125,3.40609375,5.882620313,6.124651875,6.003636094,4.0179,4.170219,4.0940595,0.541011563,0.569091875,0.555051719
1/30/2006,3.410604167,3.4415625,3.426083333,5.892942143,6.1344125,6.013677321,4.0499455,4.197972286,4.123958893,0.541346786,0.569932188,0.555639487
1/31/2006,3.416135417,3.45040625,3.433270833,5.909399107,6.144763125,6.027081116,4.0342975,4.184204688,4.109251094,0.545663929,0.573288438,0.559476183
2/1/2006,3.402916667,3.44375,3.423333333,5.934403393,6.164001563,6.049202478,4.045543929,4.188324714,4.116934321,0.550109107,0.575854688,0.562981897
2/2/2006,3.342864583,3.380416667,3.361640625,5.866692857,6.108660625,5.987676741,3.987592071,4.132160857,4.059876464,0.538567857,0.56686,0.552713929
2/3/2006,3.312208333,3.3453125,3.328760417,5.829683125,6.0547975,5.942240313,3.961990375,4.098873313,4.030431844,0.537972679,0.566584688,0.552278683
2/6/2006,3.155458333,3.2984375,3.226947917,5.716175938,5.955862188,5.836019063,3.906423786,4.059128438,3.982776112,0.532506786,0.561124688,0.546815737
2/7/2006,3.176875,3.2234375,3.20015625,5.5770975,5.7984375,5.6877675,3.828892643,3.973841357,3.901367,0.519086875,0.547341563,0.533214219
2/8/2006,3.18521,3.226875,3.2060425,5.52762,5.76758,5.6476,3.802635,3.95391,3.8782725,0.51059,0.54003,0.52531
2/9/2006,3.21068,3.24672,3.2287,5.530405,5.77215,5.6512775,3.823275,3.967245,3.89526,0.512935,0.539915,0.526425
2/10/2006,3.26698,3.299065,3.2830225,5.57534,5.813325,5.6943325,3.849185,3.991,3.9200925,0.522,0.550595,0.5362975
2/13/2006,3.298645833,3.3328125,3.315729167,5.621124643,5.860247813,5.740686228,3.862616438,4.008778429,3.935697433,0.524425714,0.552020313,0.538223013
2/14/2006,3.322142857,3.354910714,3.338526786,5.656890893,5.901174688,5.77903279,3.888551125,4.026541571,3.957546348,0.525687857,0.553999375,0.539843616
2/15/2006,3.295181548,3.330982143,3.313081845,5.639613438,5.868338125,5.753975781,3.89241725,4.03360325,3.96301025,0.531914688,0.5578325,0.544873594
2/16/2006,3.22155,3.242815,3.2321825,5.576,5.80586,5.69093,3.83668,3.977955,3.9073175,0.524865,0.55434,0.5396025
2/17/2006,3.22521,3.26125,3.24323,5.53626,5.764995,5.6506275,3.815355,3.954555,3.884955,0.52261,0.54984,0.536225
2/20/2006,3.245364583,3.27921875,3.262291667,5.570299643,5.806678125,5.688488884,3.849225375,3.992646,3.920935688,0.528499107,0.557017813,0.54275846
2/21/2006,3.270927083,3.30625,3.288588542,5.607659688,5.838197188,5.722928438,3.862016429,4.005547214,3.933781821,0.530576071,0.558954688,0.544765379
2/22/2006,3.29609375,3.32671875,3.31140625,5.66807375,5.906637188,5.787355469,3.894977786,4.036097429,3.965537607,0.532538393,0.561517813,0.547028103
2/23/2006,3.29092,3.32403,3.307475,5.670305,5.906005,5.788155,3.89254,4.04049,3.966515,0.53385,0.557475,0.5456625
2/24/2006,3.290835,3.324535,3.307685,5.677085,5.91537,5.7962275,3.89095,4.03007,3.96051,0.53016,0.5582,0.54418
2/27/2006,3.3003125,3.33953125,3.319921875,5.65011,5.904614063,5.777362031,3.870772357,4.015790286,3.943281321,0.528411786,0.556857813,0.542634799
2/28/2006,3.302760417,3.33734375,3.320052083,5.640130625,5.88719375,5.763662188,3.8633145,4.003789143,3.933551821,0.523905313,0.551341563,0.537623438
3/1/2006,3.29046875,3.32709375,3.30878125,5.684655938,5.920545938,5.802600938,3.888756813,4.02858425,3.958670531,0.5265725,0.552559688,0.539566094
