Date,Lending_Margin,Average_Lending_Rate,Weighted_Interbank_Rate,BoZ_Policy_Rate
13-Apr-12,7,23.25223106,8.06,16.25223106
20-Apr-12,7,22.86585895,8.48,15.86585895
27-Apr-12,7,22.84957637,8.376224157,15.84957637
4-May-12,7,22.85454555,8.226004818,15.85454555
11-May-12,7,19.22433292,7.77,12.22433292
18-May-12,7,19.2529095,7.82,12.2529095
25-May-12,7,19.2529095,7.432692308,12.2529095
1-Jun-12,7,19.26145607,7.36,12.26145607
8-Jun-12,7,19.28217864,7.2,12.28217864
15-Jun-12,7,19.28220453,7.655813953,12.28220453
22-Jun-12,7,19.27036436,8.640449438,12.27036436
29-Jun-12,7,16.60895533,8.640449438,9.608955331
6-Jul-12,7,16.60507802,9.791521739,9.605078021
13-Jul-12,7,16.62522603,7.655813953,9.625226025
20-Jul-12,7,16.61687305,9.63,9.616873054
27-Jul-12,7,16.61522283,9.362962963,9.615222833
3-Aug-12,7,16.6167235,8.74517134,9.616723496
10-Aug-12,7,16.6167235,8.74517134,9.616723496
17-Aug-12,7,16.61481449,8.74517134,9.614814494
24-Aug-12,7,16.61435602,8.74517134,9.614356024
31-Aug-12,7,16.61078351,8.74517134,9.610783514
7-Sep-12,7,16.12680354,7.113333333,9.126803541
14-Sep-12,7,16.12231085,7.11,9.122310846
21-Sep-12,7,16.79305996,7.970754717,9.793059963
28-Sep-12,7,16.12114041,8.106818182,9.121140409
5-Oct-12,7,16.12680354,7.113333333,9.126803541
12-Oct-12,7,16.12231085,7.11,9.122310846
19-Oct-12,7,16.79305996,7.970754717,9.793059963
26-Oct-12,7,16.12114041,8.106818182,9.121140409
2-Nov-12,7,16.12114041,8.661058601,9.121140409
9-Nov-12,7,16.14021488,8.848939641,9.140214877
16-Nov-12,7,16.14021488,9.139066496,9.140214877
23-Nov-12,7,16.14424809,8.989208633,9.144248091
30-Nov-12,7,16.14372211,8.989208633,9.143722112
7-Dec-12,7,16.14021488,8.848939641,9.140214877
14-Dec-12,7,16.14021488,8.848939641,9.140214877
21-Dec-12,7,16.14021488,8.848939641,9.140214877
28-Dec-12,7,16.14767527,8.848939641,9.147675271
4-Jan-13,7,16.25,9.683529412,9.25
11-Jan-13,7,16.25,7.298275862,9.25
18-Jan-13,7,16.25,7.48,9.25
25-Jan-13,7,16.25,7.570873786,9.25
1-Feb-13,7,16.25,7.5914602,9.25
8-Feb-13,7,16.25,7.5914602,9.25
15-Feb-13,7,16.25,7.5914602,9.25
22-Feb-13,7,16.25,7.5914602,9.25
1-Mar-13,7,16.25,7.5914602,9.25
8-Mar-13,6.754033333,16.00403333,9.380609493,9.25
15-Mar-13,6.592777778,15.84277778,10.35213777,9.25
22-Mar-13,6.816410893,16.06641089,9.943693694,9.25
29-Mar-13,6.902631579,16.15263158,9.397222222,9.25
5-Apr-13,7,16.25,9.587755102,9.25
12-Apr-13,7,16.25,10.07830092,9.25
19-Apr-13,7,16.25,10.11796875,9.25
26-Apr-13,7,16.25,10.00502302,9.25
3-May-13,6.708230484,15.95823048,9.84,9.25
10-May-13,6.841666667,16.09166667,10.1,9.25
17-May-13,6.818363501,16.0683635,10.99,9.25
24-May-13,6.813489186,16.06348919,11.73,9.25
31-May-13,6.685740741,15.93574074,11.22,9.25
7-Jun-13,6.840717354,16.34071735,9.685885167,9.5
14-Jun-13,6.810401565,16.31040156,10.12579564,9.5
21-Jun-13,6.872415789,16.37241579,10.82,9.5
28-Jun-13,6.713157895,16.21315789,11.14,9.5
5-Jul-13,6.736272738,16.48627274,11.18,9.75
12-Jul-13,6.659956949,16.40995695,10.62,9.75
19-Jul-13,6.688378002,16.438378,11.5,9.75
26-Jul-13,6.668904317,16.41890432,11.2,9.75
2-Aug-13,6.677202522,16.42720252,9.46,9.75
9-Aug-13,6.556478257,16.30647826,9.53,9.75
16-Aug-13,6.556478257,16.30647826,9.86,9.75
23-Aug-13,6.632453085,16.38245309,8.940223653,9.75
30-Aug-13,6.632453085,16.38245309,11.04517705,9.75
6-Sep-13,6.647028224,16.39702822,10.3685567,9.75
13-Sep-13,6.6305172,16.3805172,10.3685567,9.75
20-Sep-13,6.405933521,16.15593352,9.29,9.75
27-Sep-13,6.666060743,16.41606074,9.69,9.75
4-Oct-13,6.6305172,16.3805172,9.9,9.75
11-Oct-13,6.342699316,16.09269932,9.52,9.75
18-Oct-13,6.699437917,16.44943792,9.46,9.75
25-Oct-13,6.638495548,16.38849555,9.564002732,9.75
1-Nov-13,6.505282569,16.25528257,9.317857143,9.75
8-Nov-13,6.562482751,16.31248275,9.587876588,9.75
15-Nov-13,6.554974274,16.30497427,9.60411985,9.75
22-Nov-13,6.511844888,16.26184489,9.940035587,9.75
29-Nov-13,6.270004123,16.02000412,9.801025641,9.75
6-Dec-13,6.270004123,16.02000412,9.81,9.75
13-Dec-13,6.917676435,16.66767644,9.71,9.75
20-Dec-13,6.894247059,16.64424706,10.09,9.75
27-Dec-13,6.643685403,16.3936854,10.14,9.75
3-Jan-14,6.808228947,16.55822895,10.20967742,9.75
10-Jan-14,6.660526316,16.41052632,10.27707065,9.75
17-Jan-14,6.675071053,16.42507105,10.30142379,9.75
24-Jan-14,6.654544737,16.40454474,9.587248322,9.75
31-Jan-14,6.654544737,16.40454474,9.951530612,9.75
7-Feb-14,6.844325978,16.59432598,9.546610169,9.75
14-Feb-14,6.748841653,16.49884165,10.04320988,9.75
21-Feb-14,6.541328012,16.29132801,10.08,9.75
