Date,Deposit_Liabilities_to_Public,Bills_Payable_1,Total_Kwacha_Liabilities_to_Public,Foreign_currency_Deposits_($'000)
3-Jan-2014,21337496.12,70103.60592,21407599.72,1583487.202
10-Jan-2014,21390771.94,75382.15837,21466154.1,1558309.463
17-Jan-2014,21525343.02,66781.58741,21592124.6,1556445.576
24-Jan-2014,21209381.92,65937.37278,21275319.29,1585971.363
31-Jan-2014,21370422.63,65043.92888,21435466.56,1548903.287
7-Feb-2014,21341275.4,67314.60559,21408590.01,1597887.976
14-Feb-2014,20838924.68,66405.54023,20905330.22,1598647.618
21-Feb-2014,21305411.84,67187.14707,21372598.98,1463687.351
28-Feb-2014,21348182.48,70294.83565,21418477.31,1493807.931
7-Mar-2014,21436325.87,69077.20679,21505403.07,1587260.139
14-Mar-2014,20838924.68,66405.54023,20905330.22,1598647.618
21-Mar-2014,21491324.45,71846.86831,21563171.32,1630460.87
28-Mar-2014,21640816.1,74400.71047,21715216.81,1649662.725
4-Apr-2014,21925532.2,76259.5742,22001791.77,1627264.899
11-Apr-2014,21730140.86,70969.65179,21801110.51,1602548.583
18-Apr-2014,21158296.22,75154.14761,21233450.37,1756188.185
25-Apr-2014,20867419.72,76469.01424,20943888.74,1763844.153
2-May-2014,21191521.32,87626.76516,21279148.09,1750843.379
9-May-2014,21869126.87,84836.09567,21953962.97,1753629.68
16-May-2014,21409241.81,82984.54493,21492226.35,1802221.063
23-May-2014,21178882.98,88660.49991,21267543.48,1814160.378
30-May-2014,21290410.99,92345.59351,21382756.59,1761875.067
6-Jun-2014,20427984.75,95478.62542,20523463.38,1769248.261
13-Jun-2014,21680968.42,94120.83674,21775089.25,1951536.592
20-Jun-2014,19736024.5,93190.54921,19829215.05,1966290.06
27-Jun-2014,19635599.3,92096.72111,19727696.03,1935521.364
4-Jul-2014,19699613.98,86038.38267,19785652.36,1790748.168
11-Jul-2014,19718865.1,90973.06195,19809838.16,1711219.678
18-Jul-2014,19843708.41,90126.767,19933835.17,1779189.351
25-Jul-2014,19762882.42,89852.63149,19852735.05,1747062.558
1-Aug-2014,20103032.91,76163.7099,20179196.62,1741098.222
8-Aug-2014,20395859.44,80311.39605,20476170.84,1751896.456
15-Aug-2014,20178024.99,80329.02901,20258354.02,1669116.28
22-Aug-2014,20222752.83,82493.29027,20305246.12,1692173.39
29-Aug-2014,20615719.24,81368.87613,20697088.11,1712745.223
5-Sep-2014,20828575.06,78724.05341,20907299.11,1808243.423
12-Sep-2014,20677702.12,75772.02826,20753474.15,1722709.222
19-Sep-2014,20586605.03,81577.28109,20668182.31,1752052.186
26-Sep-2014,20539769.14,81160.34412,20620929.49,1731809.22
3-Oct-2014,21064864.36,81145.3003,21146009.66,1720310.094
10-Oct-2014,20862025.46,81820.51007,20943845.97,1704547.528
17-Oct-2014,20760067.29,79463.33869,20839530.63,1656774.679
24-Oct-2014,20760067.29,79463.33869,20839530.63,1656774.679
31-Oct-2014,20760067.29,79463.33869,20839530.63,1656774.679
7-Nov-2014,20760067.29,79463.33869,20839530.63,1656774.679
14-Nov-2014,20760067.29,79463.33869,20839530.63,1656774.679
21-Nov-2014,20371155.42,80186.17145,20451341.59,1753413.907
28-Nov-2014,20602483.01,81379.63564,20683862.65,1751682.835
5-Dec-2014,20423607.97,78790.79209,20502398.76,1735801.942
12-Dec-2014,20533652.17,74007.48674,20607659.66,1707287.508
19-Dec-2014,20539719.75,77450.42208,20617170.17,1760619.311
26-Dec-2014,20736473.93,78922.84835,20815396.77,1723410.405
2-Jan-2015,21318815.47,79410.07059,21398225.54,1708138.053
9-Jan-2015,21416234.35,73540.48624,21489774.83,1775173.931
16-Jan-2015,21704116.69,77816.20259,21781932.89,1775173.931
23-Jan-2015,21947866.53,76698.62452,22024565.15,1775173.931
30-Jan-2015,22185507.94,75786.39446,22261294.33,1775173.931
6-Feb-2015,21836160.01,77049.79117,21913209.8,1775173.931
13-Feb-2015,21555498.98,75519.39541,21631018.37,1775173.931
20-Feb-2015,21482300.13,73876.88387,21556177.01,1775173.931
27-Feb-2015,21583331.54,73866.40904,21657197.95,1775173.931
6-Mar-2015,21765978.53,77443.5402,21843422.07,1801533.082
13-Mar-2015,20916383.17,75769.13014,20992152.3,1367527.284
20-Mar-2015,20976307.07,72562.74717,21048869.82,1823488.134
27-Mar-2015,20802892.1,72334.70751,20875226.81,1836496.803
3-Apr-2015,20931805.92,69472.99868,21001278.92,1913806.87
10-Apr-2015,20833711.42,72750.42907,20906461.85,1921907.183
17-Apr-2015,20523370.88,64579.22142,20587950.1,1946787.854
24-Apr-2015,20386091.74,66423.15634,20452514.9,1909125.495
1-May-2015,20935963.74,73619.64104,21009583.38,1793236.054
8-May-2015,20769606.74,71474.43109,20841081.18,1816191.805
15-May-2015,20930082.04,78537.66945,21008619.71,1806489.13
22-May-2015,20935681.98,75715.19274,21011397.18,1850086.992
29-May-2015,20935681.98,75715.19274,21011397.18,1850086.992
5-Jun-2015,20935681.98,75715.19274,21011397.18,1850086.992
12-Jun-2015,20935681.98,75715.19274,21011397.18,1850086.992
19-Jun-2015,21366024.62,74551.55301,21440576.17,1940757.805
26-Jun-2015,20825785.53,164213.2144,20989998.75,1985882.236
3-Jul-2015,21088894.45,70743.05104,21159637.5,1849054.577
10-Jul-2015,21024195.83,72706.65685,21096902.49,1850541.673
17-Jul-2015,22237680.84,72450.38562,22310131.23,1801516.858
24-Jul-2015,20852620.63,68726.74458,20921347.38,1862239
31-Jul-2015,21133205.21,65424.58028,21198629.79,1828218.742
7-Aug-2015,21133205.21,65424.58028,21198629.79,1817129.67
14-Aug-2015,21013041.58,71092.46092,21084134.04,1866973.83
21-Aug-2015,21407470.2,67774.98352,21475245.18,1888956.117
28-Aug-2015,21833771.53,68172.04953,21901943.58,1921426.757
