Date,Notes_and_Coins,Positive_Current_Acs,TBs_Holdings,Term_Deposits,Total_Assets,Annual_Change_%,Required_Ratio_%,Actual_Ratio_%,Required_Ratio_%,Actual_Ratio_%,Total_Reserves
4-Jan-2013,914590.0265,3070591.565,4882978.664,1683400,8868160.256,48.48152517,6,10.43725884,5,6.981592195,1199052.609
5-Jan-2013,8004340.758,3070591.565,2069299.956,145800,13144232.28,110.6448051,6,8.269566355,5,6.951046407,1202828.367
6-Jan-2013,1720651.974,3070591.565,4724279.526,0,9515523.066,51.07064236,6,8.454358344,5,6.424014335,1129096.463
7-Jan-2013,1714331.688,3070591.565,4840631.875,0,9625555.128,53.53087021,6,48.97540634,5,7.494042761,1288264.591
1-Feb-2013,1623741.09,1632502.353,4747149.105,0,8003392.549,29.33452144,6,46.5625423,5,10.12082246,1734948.743
8-Feb-2013,1542192.166,635904.3607,4784142.06,0,6962238.587,20.09179481,6,40.15012604,5,9.226171828,1599447.366
15-Feb-2013,1437310.882,671812.9189,4700434.589,131000,6809558.39,16.28644935,6,46.88978987,5,8.488537618,1480529.638
22-Feb-2013,1414323.496,2043214.92,4700434.589,131000,8157973.005,45.88249069,6,54.80917141,5,9.476507916,1646164.625
1-Mar-2013,1360125.606,842673.3317,4700434.589,131000,6903233.527,12.53522135,6,47.69766411,5,8.262493074,1432517.011
8-Mar-2013,1242832.756,675351.0824,4881977.62,132019.359,6800161.458,18.73566598,6,45.7632842,5,8.799298267,1560042.428
15-Mar-2013,1235739.011,440238.3802,4881977.62,132019.359,6557955.011,9.452469375,6,44.8550054,5,8.291605511,1455479.283
22-Mar-2013,1381304.566,1013734.088,5007476.279,905000,7402514.933,20.18833455,6,48.00037582,5,9.208539969,1598148.79
29-Mar-2013,1318481.449,1096103.235,5007476.279,905000,7422060.963,14.78643749,6,48.00709559,5,9.833738146,1709820.315
5-Apr-2013,1177575.991,1236610.467,5007476.279,905000,7421662.736,16.53012697,6,47.9574636,5,9.219715275,1604801.111
12-Apr-2013,1217615.58,750622.8011,5007476.279,905000,6975714.66,26.72349754,6,46.11265091,5,8.285632064,1419602.829
19-Apr-2013,1200635.099,1211142.115,5007476.279,905000,7419253.492,44.78444103,6,49.34578177,5,8.808384634,1489182.087
26-Apr-2013,1212121.972,1089862.603,5007476.279,905000,7309460.854,33.2684264,6,48.87121901,5,9.066850091,1526985.892
3-May-2013,1120502.001,745057.6016,5007476.279,905000,6873035.881,30.8365646,6,46.30920547,5,9.646463491,1623329.277
10-May-2013,1028512.122,1764728.591,5007476.279,905000,7800716.992,38.84005975,6,51.81485967,5,8.976635135,1509656.326
17-May-2013,1097525.031,844656.7016,5007476.279,905000,6949658.011,20.43393759,6,48.31127493,5,9.153798671,1491215.521
24-May-2013,1197439.216,1174911.45,5007476.279,905000,7379826.945,18.27487625,6,51.46454853,5,9.708494938,1564514.823
31-May-2013,1121821.434,1083278.203,5007476.279,905000,7212575.915,27.31495079,6,48.16246657,5,8.699060153,1468041.869
7-Jun-2013,1071859.807,864912.7795,5007476.279,905000,6944248.865,25.99550741,6,46.44439608,5,8.912325731,1508842.601
14-Jun-2013,1034898.176,702322.0574,5007476.279,905000,6744696.512,4.234321492,6,45.09678879,5,8.158664239,1386928.984
21-Jun-2013,1058929.522,1041948.867,5007476.279,905000,7108354.667,32.26652587,6,47.20803433,5,8.787765517,1493779.021
28-Jun-2013,1129904.537,1053976.001,5648331.733,0,7832212.271,35.62991702,6,46.02891174,5,10.48162219,1774609.331
5-Jul-2013,1038504.218,1050967.187,5648331.733,5583069.774,13320872.91,35.11562894,6,75.97189033,5,9.763304454,1703746.673
12-Jul-2013,995134.2912,754209.4513,5896828.367,0,7646172.11,34.04908681,6,42.31176902,5,9.486045192,1706517.03
19-Jul-2013,1074801.479,762314.0724,5787807.859,0,7624923.41,24.52397487,6,41.99234337,5,9.126416243,1650199.046
26-Jul-2013,1074931.212,1211995.193,5787807.859,0,8074734.264,32.07354552,6,43.5031568,5,9.305791986,1720082.409
2-Aug-2013,1115077.261,1010618.274,5809640.012,0,7935335.547,7.197986479,6,43.25736873,5,9.780835576,1786527.883
9-Aug-2013,1071526.113,1055181.76,5682411.82,0,7809119.693,28.11639028,6,43.56738179,5,10.63562763,1897780.749
16-Aug-2013,1195339.747,1141525.029,5650931.855,0,7987796.631,23.77392162,6,43.91983493,5,9.336790026,1690552.84
23-Aug-2013,1182541.956,1276731.338,5745598.066,0,8204871.36,31.1822892,6,44.99454313,5,10.03558007,1822247.273
30-Aug-2013,1151271.884,1169979.448,5705932.01,0,8027183.342,25.91050367,6,43.14007502,8,10.0050478,1854352.594
6-Sep-2013,1063134.249,845346.5988,5584802.335,0,7493283.183,9.176402762,9,40.3321453,8,9.677414131,1790576.028
13-Sep-2013,1059377.187,781605.2426,5522448.206,0,7363430.635,37.06196912,9,39.55930511,8,9.329333104,1728327.959
20-Sep-2013,1104961.011,1870919.54,5541989.744,0,8517870.295,67.72532105,9,45.69335905,8,10.89252635,2022490.367
27-Sep-2013,1153630.101,1265492.687,30490.164,0,2449612.952,-61.26705811,6,43.67045433,5,10.10698916,1873772.594
4-Oct-2013,1074456.449,1473513.346,5473271.604,0,8021241.399,13.57023583,6,40.66922846,5,9.946692158,1954394.696
11-Oct-2013,984512.9953,1006413.858,5473271.604,0,7464198.457,10.14718319,6,39.04320668,5,9.267224561,1764563.266
18-Oct-2013,1120223.579,1780445.962,5473271.604,0,8373941.144,19.99834402,6,43.26426056,5,8.769817007,1690736.794
25-Oct-2013,1102007.124,1352507.512,5473271.604,0,7927786.24,9.391665223,6,40.74198231,5,9.210302849,1785118.805
1-Nov-2013,1078624.758,952403.1758,5473271.604,0,7504299.538,3.86288713,6,39.62288497,8,8.881781522,1834811.854
8-Nov-2013,1012957.099,653344.0813,5473271.604,0,7139572.784,-2.741693073,6,35.52240226,8,8.636851077,1729093.612
15-Nov-2013,1093633.947,638112.4851,5473271.604,0,7205018.036,-2.880395047,6,35.72967514,0,0,1701701.397
