Date,Currency_with_non_Bank,Kwacha_Demand_Deposits,Narrow_Money_M1,Narrow Money_Percentage_change_ Monthly,Narrow Money_Percentage_change_Annual,Time_and_Savings_Deposits,Forex_Demand_Deposits,Broad_Money_M2,Broad_Money_M2_Percentage_change_Monthly,,Other _Forex _Deposits,Broad_Money_M3,Broad_Money_M3_Percentage_change_Monthly,
1-Jan-03,410876,832018,1242929,-6.425326081,28.91113917,867897,1479772,3590598,2.145175042,29.49168528,92380,3682978,2.130103381,31.41442239
2-Feb-03,406217,832582,1238907,-0.323590487,30.61350786,873358,1481086,3593351,0.076672465,32.68385893,94921,3688272,0.143742374,34.97205062
6-Mar-03,412249,829468,1241863,0.238597409,35.19499755,887398,1439600,3568861,-0.681536538,33.85653722,92214,3661075,-0.737391385,36.03493613
7-Apr-03,433505.1896,903678.7514,1337273.941,7.682887801,42.52697692,857271.4697,1406097.2,3600642.611,0.890525314,35.98817484,87516.4,3688159.011,0.739783004,36.04113879
9-May-03,480518.1984,878198.6906,1358772.889,1.60766971,39.81006833,904014.4524,1416963.9,3679751.241,2.197069783,26.74165422,84724.7,3764475.941,2.069241879,26.42991425
10-Jun-03,481404.5587,934544.505,1416031.064,4.213962104,35.48571487,903536.0436,1477240.7,3796807.807,3.181099974,25.20416372,87200.1,3884007.907,3.17526178,24.69360721
12-Jul-03,513605.7034,877325,1391012.703,-1.76679459,27.04780731,911078,1428218.5,3730309.203,-1.751434552,22.3145059,108925,3839234.203,-1.152770665,22.69265901
13-Aug-03,530306,928140,1458497,4.85469212,30.06531691,954229,1408734,3821460,2.444699429,17.40437521,83450,3904910,1.711787538,16.91787123
14-Sep-03,528643,911180,1439856,-2.854671572,27.52069991,1007550,1524157,3971563,3.301431735,27.09751947,81291,4052854,3.176331469,25.71559702
16-Oct-03,539263,991088,1530412,6.289240035,22.93808802,986002,1448590,3965004,-0.165149086,17.74590904,94287,4059291,0.173730601,17.59465343
17-Nov-03,550386,982500,1532956,0.166229747,27.96579467,1032859,1428850,3994665,0.748069863,16.89703215,102298,4096963,0.928043838,16.47408137
19-Dec-03,592451,1103099,1695572,10.6080018,27.65218046,1153237,1491550,4340359,8.653892129,23.47434321,79473,4419832,7.880691136,22.56328957
1-Jan-04,558801,1124002,1682911,-0.746709665,35.39880395,1154169.926,1593564.7,4430645.626,2.082661826,23.39877647,85233,4515878.626,2.175535179,22.61486834
2-Feb-04,557383,1109943,1667434,-0.919656476,34.58911767,1155362.954,1601517.9,4424314.854,-0.142887644,23.12804956,96422,4520736.854,0.107573383,22.57059278
5-Mar-04,564016,1131125,1695195,1.664893483,36.50418766,1143398.658,1633534.1,4472127.758,1.079440189,25.31118472,145837,4617964.758,2.149465421,26.13833369
6-Apr-04,607054,1255130,1862260,9.855208398,39.25792936,1150780.974,1646978.9,4660019.874,4.201841517,29.42400854,173091,4833110.874,4.659313875,31.0460581
8-May-04,629397,1268153,1897654,1.900593902,39.65939528,1163480.818,1651260.5,4712395.318,1.12452619,28.06572213,218191,4930586.318,2.017385216,30.97947966
9-Jun-04,701501,1296193,1997849,5.27994039,41.08793594,1213219.432,1831210,5042278.432,7.001251989,32.80719636,204139,5246417.432,6.406444857,35.08141913
11-Jul-04,785430,1309161,2094717,4.848614685,50.5940061,1185960.77,1808484.1,5089161.87,0.929194115,36.4323006,266570,5355731.87,2.082978737,39.50485184
12-Aug-04,769033,1302336,2071511,-1.107834614,39.76232098,1192427.048,1858846,5122784.048,0.660956896,33.24869591,276451,5399235.048,0.812549549,37.45570679
13-Sep-04,734396,1274950,2009555,-2.990860295,39.56638719,1246001.239,1840065.3,5095621.539,-0.528916482,28.3079231,282256,5377877.539,-0.394323271,32.71848165
15-Oct-04,733238,1294260,2027653.45,0.900597396,32.49066265,1309156.921,1754531,5091341.371,-0.085049933,28.41086667,307158,5398499.371,0.382440891,32.99499839
16-Nov-04,705466,1303039,2008575,-2.79722418,28.57087875,1280365.362,1887954.5,5176894.862,0.941096688,28.65297496,292303,5469197.862,0.612382095,32.5752359
18-Dec-04,729579,1311818,2041472.45,1.637850217,20.40022187,1335858.731,2084041,5461372.181,5.495134183,25.82766037,337461,5798833.181,6.027123675,31.20030764
1-Jan-05,693913.3331,1306997.466,2001041.799,-1.980465157,18.90360212,1319894.972,1983449,5304385.771,-2.874486569,19.72037982,328358,5632743.771,-2.864186719,24.73195669
1-Feb-05,666498,1351932,2018483,0.871606008,21.05324709,1294311,1877510,5190304,-2.150706534,17.31316987,341017,5531321,-1.800592668,22.3544121
1-Mar-05,666224.6615,1295121.786,1961375.447,-2.829231301,15.70205476,1352894.488,1821850,5136119.935,-1.043947805,14.84734366,332423,5468542.935,-1.134956093,18.41889711
1-Apr-05,720155.3615,1364737.729,2084966.09,6.301223111,11.95891498,1311315.027,1778149,5174430.117,0.745897337,11.03879935,349556.7137,5523986.831,1.013869621,14.29464325
1-May-05,735587.3254,1382785.846,2118507.172,1.608711133,11.63822128,1362224.605,1887560,5368291.777,3.746531603,13.91853642,313676,5681967.777,2.859908084,15.23919085
1-Jun-05,812519.5097,1409920.121,2222567.63,4.911971031,11.24802877,1453816.538,1889168,5565552.168,3.674546752,10.37772393,307420,5872972.168,3.361588778,11.94252542
1-Jul-05,876029.47,1463864.901,2340190.371,5.292200732,11.718689,1514027.517,1881568,5735785.887,3.058703148,12.70590391,268558,6004343.887,2.236886462,12.11061406
1-Aug-05,844020.1667,1453461.342,2297595.508,-1.820145187,10.91399024,1542217.124,1726988,5566800.632,-2.946156959,8.667485884,326829,5893629.632,-1.843902634,9.156752389
1-Sep-05,838307.8308,1460579.011,2298971.842,0.059903209,14.40203636,1545529.806,1799518,5644019.648,1.387134565,10.76214363,394981.8042,6039001.452,2.466592388,12.29339843
1-Oct-05,804066.0118,1392742.367,2196895.379,-4.440091927,8.346689056,1487913.995,1873489,5558298.374,-1.518798295,9.171590912,376301.1197,5934599.493,-1.728795057,9.930539681
1-Nov-05,767010.0045,1452997.562,2220095.567,1.056044284,10.5308772,1486356.642,1604670,5311122.209,-4.446975469,2.592815773,326082,5637204.209,-5.011210702,3.071864482
1-Dec-05,823120,1456988,2280283,2.711028941,11.69795605,1579650,1667550,5527483,4.073730239,1.210516636,283197,5810680,3.077337365,0.204296596
1-Jan-06,739409,1649963.839,2389486.839,4.789047618,19.41214018,1602480,1578539,5570505.839,0.778344116,5.016981773,302143,5872648.839,1.066464488,4.259115576
1-Feb-06,731451,1617503.248,2349081.248,-1.69097358,16.37855001,1675317.948,1490450,5514849.195,-0.999130872,6.25291303,275709,5790558.195,-1.397846965,4.68671399
1-Mar-06,742700.24,1482501.388,2225483.628,-5.261530229,13.46545766,1726264.804,1510594.887,5462343.318,-0.952081835,6.35155305,316962,5779305.318,-0.19433148,5.682727302
